year,sector,share_of_total
1926,Other industry,0.0008176957296268811
1927,Cement,0.0038495400014004672
1927,Coal,0.8383861037785946
1927,Gas,0.01894318564386721
1927,Oil,0.13809003707250556
1927,Other industry,0.0007311335036321188
1928,Cement,0.008903961678658142
1928,Coal,0.8276585581052125
1928,Gas,0.020674817350301317
1928,Oil,0.14202823554022698
1928,Other industry,0.000734177094825703
1929,Cement,0.008598692694620831
1929,Coal,0.8217610611420616
1929,Gas,0.023994860326336628
1929,Oil,0.14497844088792292
1929,Other industry,0.0006671781465926342
1930,Cement,0.008984374802619644
1930,Coal,0.8125756993138618
1930,Gas,0.026332118438824343
1930,Oil,0.15153354114379294
1930,Other industry,0.0005745189477561675
1931,Cement,0.008728797828056753
1931,Coal,0.8004918460302674
1931,Gas,0.026244879311528573
1931,Oil,0.16401658059078594
1931,Other industry,0.000518178779590085
1932,Cement,0.007734785863515202
1932,Coal,0.7900701311474382
1932,Gas,0.027632737056747028
1932,Oil,0.17414888851997906
1932,Other industry,0.00041345741232040443
1933,Cement,0.0070892817102538985
1933,Coal,0.7847328412261403
1933,Gas,0.02703764435649877
1933,Oil,0.18068226493019562
1933,Other industry,0.00045796777691140586
1934,Cement,0.007798837367683153
1934,Coal,0.7878346451739598
1934,Gas,0.027884795795399903
1934,Oil,0.1760402780383711
1934,Other industry,0.0004414436245858389
1935,Cement,0.008357707154888717
1935,Coal,0.781692246687146
1935,Gas,0.029035849917916773
1935,Oil,0.18039799871784878
1935,Other industry,0.0005161975221997522
1936,Cement,0.009205478514490145
1936,Coal,0.7813157018571368
1936,Gas,0.029832252397794735
1936,Oil,0.17905387662196773
1936,Other industry,0.0005926906086105541
1937,Cement,0.009074183742658249
1937,Coal,0.7707834589398969
1937,Gas,0.031262390995378184
1937,Oil,0.18827663673443246
1937,Other industry,0.0006035519722962084
1938,Cement,0.009107444007341562
1938,Coal,0.7638010722956712
1938,Gas,0.03203528830151761
1938,Oil,0.19453605373725327
1938,Other industry,0.0005203780862427969
1939,Cement,0.00797716935428305
1939,Coal,0.7686083990360911
1939,Gas,0.03161673972938607
1939,Oil,0.19115766603760248
1939,Other industry,0.0006400258426373092
1940,Cement,0.0064346315057213785
1940,Coal,0.7770246948509436
1940,Gas,0.03142899140206631
1940,Oil,0.18445104287666167
1940,Other industry,0.0006606393646070086
1941,Cement,0.008660176152059674
1941,Coal,0.7773340748016139
1941,Gas,0.030698187070046748
1941,Oil,0.18250061511195037
1941,Other industry,0.0008069468643293079
1942,Cement,0.007702121997229114
1942,Coal,0.7848545807013836
1942,Gas,0.03332628870955538
1942,Oil,0.17330737861119758
1942,Other industry,0.0008096299806343091
1943,Cement,0.006850667313988294
1943,Coal,0.7736897648047238
1943,Gas,0.03603747740022604
1943,Oil,0.18256972237153005
1943,Other industry,0.0008527621770813466
1944,Cement,0.0043901329708206475
1944,Coal,0.7494658581156443
1944,Gas,0.03827632656049818
1944,Oil,0.20702932656863382
1944,Other industry,0.0008383557844030958
1945,Cement,0.005358901380920763
1945,Coal,0.6993839571474401
1945,Gas,0.05052092270275513
1945,Oil,0.24381276064786148
1945,Other industry,0.0009234581210226722
1946,Cement,0.007877974501713663
1946,Coal,0.702176066415756
1946,Gas,0.0485699933493109
1946,Oil,0.24051647537346385
1946,Other industry,0.0008594903597556278
1947,Cement,0.008352235458657587
1947,Coal,0.7014541923223169
1947,Gas,0.04799287695122981
1947,Oil,0.24132038153768953
1947,Other industry,0.0008805073333018407
1948,Cement,0.009477993561902853
1948,Coal,0.6866386447726576
1948,Gas,0.051419422920793274
1948,Oil,0.2515751531374664
1948,Other industry,0.0008886020496401998
1949,Cement,0.011181520178676806
1949,Coal,0.6816394131243979
1949,Gas,0.057735990528884035
1949,Oil,0.24863966081690872
1949,Other industry,0.0008034153511324774
1950,Cement,0.01128084653900593
1950,Coal,0.6542477867451233
1950,Flaring,0.012414664358561622
1950,Gas,0.05955005441448697
1950,Oil,0.26166555881671505
1950,Other industry,0.0008410891261070491
1951,Cement,0.011872476260453605
1951,Coal,0.6399826627936878
1951,Flaring,0.012516353526697088
1951,Gas,0.0652160389215894
1951,Oil,0.2695503091598083
1951,Other industry,0.0008620026385021683
1952,Cement,0.012484499899500595
1952,Coal,0.6231049677628833
1952,Flaring,0.013198509516520558
1952,Gas,0.06912596440774928
1952,Oil,0.2812582525472734
1952,Other industry,0.0008279604805417692
1953,Cement,0.013463460370627808
1953,Coal,0.6105964797379778
1953,Flaring,0.01223087099624585
1953,Gas,0.07134674747810078
1953,Oil,0.291391916360737
1953,Other industry,0.0009705250563107508
1954,Cement,0.014306009631599706
1954,Coal,0.5970301634791584
1954,Flaring,0.011431228380964555
1954,Gas,0.07384030066568145
1954,Oil,0.3025497022416489
1954,Other industry,0.000842595600946959
1955,Cement,0.014432363442579987
1955,Coal,0.5892023525198401
1955,Flaring,0.013008417535329643
1955,Gas,0.07351349114863133
1955,Oil,0.3089073324213811
1955,Other industry,0.0009360429322377726
1956,Cement,0.014696436850853648
1956,Coal,0.581395043699594
1956,Flaring,0.013647520430467025
1956,Gas,0.07408801738521563
1956,Oil,0.31528467028963797
1956,Other industry,0.0008884375068995209
1957,Cement,0.01495875384926611
1957,Coal,0.5731244508901565
1957,Flaring,0.012995762508954338
1957,Gas,0.07899937649462936
1957,Oil,0.31908840192055293
1957,Other industry,0.0008333764965839138
1958,Cement,0.015407631490378932
1958,Coal,0.5656606336524179
1958,Flaring,0.011299650478876372
1958,Gas,0.08385525090118617
1958,Oil,0.32304478862353353
1958,Other industry,0.0007319260537281955
1959,Cement,0.016402389941538857
1959,Coal,0.559443178132586
1959,Flaring,0.010354809741536866
1959,Gas,0.08562963404641297
1959,Oil,0.32723391866754487
1959,Other industry,0.0009360694703804989
1960,Cement,0.01676731880245247
1960,Coal,0.5495206057856273
1960,Flaring,0.009496161213582559
1960,Gas,0.088912576618329
1960,Oil,0.33237309963586686
1960,Other industry,0.002930344475005782
1961,Cement,0.017434325474588928
1961,Coal,0.5251398036535354
1961,Flaring,0.009157630544482787
1961,Gas,0.09369377981283039
1961,Oil,0.3514711114934801
1961,Other industry,0.0031034552346842644
1962,Cement,0.018093735447805178
1962,Coal,0.5056391854884885
1962,Flaring,0.008815930579740462
1962,Gas,0.0992916867449979
1962,Oil,0.3650531468340631
1962,Other industry,0.003106212311771095
1963,Cement,0.018114837791840612
1963,Coal,0.49752040002427245
1963,Flaring,0.008815424743325
1963,Gas,0.10197455345528593
1963,Oil,0.370482187350519
1963,Other industry,0.003092596634756945
1964,Cement,0.019044812355708873
1964,Coal,0.48161388040245856
1964,Flaring,0.01042009447113808
1964,Gas,0.10651717820826331
1964,Oil,0.37917246756654144
1964,Other industry,0.003231566995889868
1965,Cement,0.01913523089794594
1965,Coal,0.4676221064429545
1965,Flaring,0.011532806871569979
1965,Gas,0.10880648892017517
1965,Oil,0.3898503024109325
1965,Other industry,0.003053064456421996
1966,Cement,0.019642195551153308
1966,Coal,0.4509944468446065
1966,Flaring,0.01218667874943362
1966,Gas,0.11295813531996501
1966,Oil,0.4011652564251167
1966,Other industry,0.003053371408098966
1967,Cement,0.019602331252358045
