year,sector,delta_mtco2,delta_total,contribution_share
1887,Other industry,0.0,51.29599999999982,0.0
1888,Cement,-0.015000000000000013,117.0590000000002,-0.00012814051034093908
1888,Coal,110.98900000000003,117.0590000000002,0.9481458068153653
1888,Gas,4.987,117.0590000000002,0.04260244833801751
1888,Oil,1.0990000000000002,117.0590000000002,0.00938842805764613
1888,Other industry,0.0,117.0590000000002,0.0
1889,Cement,0.040999999999999925,0.7559999999998581,0.05423280423281431
1889,Coal,1.4359999999999218,0.7559999999998581,1.8994708994711524
1889,Gas,-4.547000000000001,0.7559999999998581,-6.014550264551394
1889,Oil,3.8260000000000005,0.7559999999998581,5.060846560847511
1889,Other industry,0.0,0.7559999999998581,0.0
1890,Cement,0.08300000000000007,105.15700000000015,0.0007892960050210633
1890,Coal,99.36899999999991,105.15700000000015,0.944958490637806
1890,Gas,-0.5389999999999997,105.15700000000015,-0.005125669237425934
1890,Oil,6.244000000000003,105.15700000000015,0.059377882594596594
1890,Other industry,0.0,105.15700000000015,0.0
1891,Cement,0.019000000000000017,62.34299999999985,0.000304765571114641
1891,Coal,58.884000000000015,62.34299999999985,0.9445166257639215
1891,Gas,-2.7410000000000014,62.34299999999985,-0.043966443706591085
1891,Oil,6.180999999999997,62.34299999999985,0.09914505237155756
1891,Other industry,0.0,62.34299999999985,0.0
1892,Cement,0.04399999999999993,10.938000000000102,0.004022673249222849
1892,Coal,12.691000000000031,10.938000000000102,1.1602669592247132
1892,Gas,-1.1719999999999988,10.938000000000102,-0.1071493874565723
1892,Oil,-0.625,10.938000000000102,-0.057140245017370105
1892,Other industry,0.0,10.938000000000102,0.0
1893,Cement,-0.06299999999999994,-17.355999999999995,0.003629868633325649
1893,Coal,-19.145999999999958,-17.355999999999995,1.1031343627563934
1893,Gas,-0.4870000000000001,-17.355999999999995,0.028059460705231635
1893,Oil,2.3399999999999963,-17.355999999999995,-0.1348236920949526
1893,Other industry,0.0,-17.355999999999995,-0.0
1894,Cement,0.029999999999999916,49.047000000000025,0.0006116582053948234
1894,Coal,50.45399999999995,49.047000000000025,1.0286867698330158
1894,Gas,-0.5899999999999999,49.047000000000025,-0.012029278039431556
1894,Oil,-0.8469999999999942,49.047000000000025,-0.01726914999898044
1894,Other industry,0.0,49.047000000000025,0.0
1895,Cement,0.031000000000000028,83.73699999999985,0.00037020671865483696
1895,Coal,76.52200000000016,83.73699999999985,0.9138373717711441
1895,Gas,0.3439999999999994,83.73699999999985,0.004108100361847213
1895,Oil,6.838999999999999,83.73699999999985,0.08167237899614281
1895,Other industry,0.0,83.73699999999985,0.0
1896,Cement,0.06500000000000006,49.48700000000008,0.00131347626649423
1896,Coal,45.58499999999981,49.48700000000008,0.9211510093559871
1896,Gas,-0.19399999999999995,49.48700000000008,-0.0039202214723058505
1896,Oil,4.0319999999999965,49.48700000000008,0.08147594317699577
1896,Other industry,0.0,49.48700000000008,0.0
1897,Cement,0.123,72.95399999999995,0.0016859939139731897
1897,Coal,69.43299999999999,72.95399999999995,0.9517367108040689
1897,Gas,0.4400000000000004,72.95399999999995,0.00603119774104231
1897,Oil,2.959000000000003,72.95399999999995,0.04055980480850954
1897,Other industry,0.0,72.95399999999995,0.0
1898,Cement,0.09299999999999986,88.56200000000013,0.0010501117860933552
1898,Coal,85.654,88.56200000000013,0.9671642465165633
1898,Gas,1.1720000000000006,88.56200000000013,0.013233666809692632
1898,Oil,1.641999999999996,88.56200000000013,0.01854068336306761
1898,Other industry,0.0,88.56200000000013,0.0
1899,Cement,0.28300000000000014,157.45699999999988,0.0017973160926475188
1899,Coal,151.87300000000005,157.45699999999988,0.9645363496065603
1899,Gas,2.443999999999999,157.45699999999988,0.015521697987387038
1899,Oil,2.8570000000000064,157.45699999999988,0.018144636313406255
1899,Other industry,0.0,157.45699999999988,0.0
1900,Cement,0.10499999999999998,98.46000000000004,0.0010664229128580127
1900,Coal,90.44100000000003,98.46000000000004,0.9185557586837294
1900,Gas,0.6379999999999999,98.46000000000004,0.006479788746699164
1900,Oil,7.276999999999994,98.46000000000004,0.07390818606540718
1900,Other industry,0.0,98.46000000000004,0.0
1901,Cement,0.2709999999999999,62.743999999999915,0.004319138084916491
1901,Coal,53.71100000000001,62.743999999999915,0.8560340430957556
1901,Gas,1.3190000000000008,62.743999999999915,0.021021930383781758
1901,Oil,7.442999999999998,62.743999999999915,0.11862488843554775
1901,Other industry,0.0,62.743999999999915,0.0
1902,Cement,0.492,51.3280000000002,0.009585411471321657
1902,Coal,43.942999999999984,51.3280000000002,0.8561214152119664
1902,Gas,0.8349999999999991,51.3280000000002,0.016267923940149545
1902,Oil,6.057000000000002,51.3280000000002,0.11800576683291729
1902,Other industry,0.0,51.3280000000002,0.0
1903,Cement,0.3900000000000001,187.63599999999997,0.0020784924001790712
1903,Coal,181.65599999999995,187.63599999999997,0.9681297831972542
1903,Gas,0.8320000000000007,187.63599999999997,0.004434117120382021
1903,Oil,4.757000000000005,187.63599999999997,0.02535227781449192
1903,Other industry,0.0,187.63599999999997,0.0
1904,Cement,0.20100000000000007,25.66300000000001,0.007832287729415889
1904,Coal,12.47900000000027,25.66300000000001,0.4862642715193182
1904,Gas,0.6369999999999987,25.66300000000001,0.024821727779293083
1904,Oil,10.512999999999991,25.66300000000001,0.40965592487238384
1904,Other industry,1.834,25.66300000000001,0.0714647547052176
1905,Cement,0.7629999999999999,150.3159999999998,0.00507597328295059
1905,Coal,146.46399999999994,150.3159999999998,0.9743739854706095
1905,Gas,2.0050000000000026,150.3159999999998,0.013338566752707663
1905,Oil,0.9370000000000118,150.3159999999998,0.006233534686926296
1905,Other industry,0.1459999999999999,150.3159999999998,0.0009712871550600076
1906,Cement,0.9849999999999999,108.40700000000015,0.009086129124503016
1906,Coal,104.55099999999993,108.40700000000015,0.9644303412141263
1906,Gas,1.8569999999999993,108.40700000000015,0.017129890136245784
1906,Oil,0.867999999999995,108.40700000000015,0.008006863025450329
1906,Other industry,0.1469999999999998,108.40700000000015,0.0013560009962456261
1907,Cement,0.133,355.971,0.0003736259414390498
1907,Coal,333.52999999999975,355.971,0.9369583477305728
1907,Gas,0.8499999999999979,355.971,0.002387834964084147
1907,Oil,21.531999999999996,355.971,0.06048807346665879
1907,Other industry,-0.07299999999999995,355.971,-0.00020507288515075653
1908,Cement,0.19399999999999995,-114.55400000000009,-0.0016935244513504532
1908,Coal,-123.69699999999966,-114.55400000000009,1.0798138869004974
1908,Gas,-0.2010000000000005,-114.55400000000009,0.0017546310037187733
1908,Oil,9.369,-114.55400000000009,-0.08178675559124948
1908,Other industry,-0.21999999999999975,-114.55400000000009,0.001920491645861337
1909,Cement,1.2359999999999998,116.7170000000001,0.010589717007805192
1909,Coal,105.54099999999971,116.7170000000001,0.9042470248549879
1909,Gas,3.8470000000000013,116.7170000000001,0.03296006580018333
1909,Oil,5.579000000000008,116.7170000000001,0.0477993779826418
1909,Other industry,0.5129999999999999,116.7170000000001,0.004395246622171573
1910,Cement,1.0230000000000006,143.16100000000006,0.007145800881524998
1910,Coal,131.01099999999997,143.16100000000006,0.9151305173895119
1910,Gas,1.3919999999999995,143.16100000000006,0.009723318501547201
1910,Oil,9.73599999999999,143.16100000000006,0.06800734837001687
1910,Other industry,0.0,143.16100000000006,0.0
1911,Cement,0.17499999999999982,46.93399999999974,0.0037286402181787356
1911,Coal,37.309999999999945,46.93399999999974,0.7949460945157061
1911,Gas,0.8030000000000008,46.93399999999974,0.01710913197255732
1911,Oil,8.721000000000004,46.93399999999974,0.185814121958496
1911,Other industry,-0.07299999999999995,46.93399999999974,-0.0015553756338688447
1912,Cement,0.37099999999999955,156.7220000000002,0.0023672490141779653
1912,Coal,149.33200000000033,156.7220000000002,0.9528464414696095
1912,Gas,2.5970000000000013,156.7220000000002,0.016570743099245784
