iso_code,country,cluster,pca1,pca2
JPN,Japan,0,-1.8147215410435948,-0.44501916017246446
KAZ,Kazakhstan,3,-1.630239900685152,2.2104338823897343
KEN,Kenya,1,1.4459893985987304,-0.8821778471942794
KGZ,Kyrgyzstan,1,0.7615419901247347,0.6335553753010496
KHM,Cambodia,2,3.711010311779892,1.018477593922968
KOR,South Korea,0,-1.7571639459461295,0.3114034244655202
KWT,Kuwait,3,-2.645037677850062,2.528636714153338
LAO,Laos,2,5.914482103937855,3.7530603151558215
LBN,Lebanon,0,-0.6188949679787339,0.0021915961553104907
LBR,Liberia,1,0.7366416687862997,-0.07804116749427795
LBY,Libya,3,-0.26529170043025624,2.641223097015307
LCA,Saint Lucia,1,-0.23391290981203808,-0.6091318015832634
LKA,Sri Lanka,1,1.1312992970266162,-0.7413106088497385
LSO,Lesotho,1,0.5272976600306117,1.3371494359329474
LTU,Lithuania,0,-0.6201189754662663,-0.7945856221446225
LUX,Luxembourg,0,-3.27844477374978,0.29575622529709006
LVA,Latvia,0,-0.6022910867533235,-0.9297359105717151
MAR,Morocco,1,0.36914534680870165,-0.702671082266627
MDA,Moldova,1,0.5373139066335763,-0.49144237251300005
MDG,Madagascar,1,1.7373619936457758,-0.5997689271782773
MEX,Mexico,0,-0.7071356606764745,-0.777247939187774
MKD,North Macedonia,0,-0.3559116944649214,-0.18738181445198585
MLI,Mali,2,2.6917081931499096,0.03134706947180307
MLT,Malta,0,-1.5805921923337576,-0.8774946735617151
MMR,Myanmar,2,3.1047419141781,0.5550158789501973
MNE,Montenegro,1,-0.05893032855785516,-0.4638852484613374
MNG,Mongolia,3,0.7930381870622751,5.057451227323255
MOZ,Mozambique,2,3.6075919695342176,2.39878430884361
MRT,Mauritania,2,2.1969887873957417,0.714347750763248
MUS,Mauritius,1,-0.05557689532411137,-0.7149445559698147
MWI,Malawi,1,1.9466986920827296,-0.524974079453903
MYS,Malaysia,0,-0.48249776375386877,0.3347872691382513
NAM,Namibia,1,0.26161504811852393,-0.9590454756159082
NER,Niger,2,2.1641910552277395,0.18045723053607346
NGA,Nigeria,1,0.5451689200118002,-0.8670021711312995
NIC,Nicaragua,1,0.40408850630358867,-0.8867257421598254
NLD,Netherlands,0,-2.1210914491784134,-0.6323490257055991
NOR,Norway,0,-2.610520700854373,-1.0144515431553238
NPL,Nepal,2,3.571214177642595,0.7212444903772683
NZL,New Zealand,0,-1.4064505623435433,-0.61480084926358
OMN,Oman,3,-1.941652397224359,1.0828660105100578
PAK,Pakistan,1,1.2064339354548557,-0.29718604502124096
PAN,Panama,1,0.7451824230766795,0.43941192345362867
PER,Peru,1,0.9831857883159625,-0.2534160901913327
PHL,Philippines,1,1.3245463864734235,-0.663332094745995
POL,Poland,0,-1.1587228132931904,0.10803807094342403
PRK,North Korea,3,0.9623513125464701,5.798850063440712
PRT,Portugal,0,-1.0202650969629756,-0.8433994749055687
PRY,Paraguay,1,1.1988963241091573,-0.6551093599694398
PSE,Palestine,1,1.6380056796291,-0.39604483107916055
QAT,Qatar,3,-5.883592601046524,2.7104487825553614
ROU,Romania,0,-0.7215971106611216,-0.802599290671036
RUS,Russia,0,-1.4637178455423956,0.7448208025317103
RWA,Rwanda,2,2.619074825686611,-0.6532980367867673
SAU,Saudi Arabia,3,-2.450408701567931,1.5907570534929885
SEN,Senegal,1,1.3748359933554566,-0.03587896907010962
SGP,Singapore,0,-1.8346606868006365,-0.5849856000054924
SLE,Sierra Leone,1,1.884415995365631,-0.3408361162052472
SLV,El Salvador,1,0.8555872472232855,-0.6030924147665907
SRB,Serbia,0,-0.5160144211055835,0.7306864413333829
STP,Sao Tome and Principe,1,0.7638296693756977,-0.7248986642178367
SVK,Slovakia,0,-1.0449963335614412,-0.3218839871657635
SVN,Slovenia,0,-1.435310461252653,-0.5554648209685856
SWE,Sweden,0,-1.684879931432115,-1.4361725168628476
SWZ,Eswatini,1,0.6856993897648358,-0.432439070773138
SYC,Seychelles,1,0.12923345459081934,-0.32025626118193096
SYR,Syria,0,-0.9898301930875393,0.3805504109750298
TCD,Chad,1,1.6059219400327025,-0.6306781014782242
TGO,Togo,1,0.9786623775518991,-0.06298059472738043
THA,Thailand,0,-0.3226145179229587,-0.6005328546645741
TJK,Tajikistan,2,3.6651669549849952,1.047506187456026
TKM,Turkmenistan,3,-0.5556978298174298,2.8649889404746514
TTO,Trinidad and Tobago,3,-4.100169969660511,4.12791337236128
TUN,Tunisia,1,-0.036887094019894436,-0.6434935332953229
