iso_code,country,start_year,end_year,years_used,emissions_per_capita_level,emissions_per_capita_trend_log,emissions_total_trend_log,volatility_yoy_pct_co2pc,intensity_level_co2_per_gdp,income_level_gdp_per_capita,cluster
CZE,Czechia,2010,2023,14,9.8065,-0.021350827673451332,-0.019860293276988676,4.651606647182125,0.34638461538461535,29110.72948694269,0
DEU,Germany,2010,2023,14,9.104928571428571,-0.026845353967763403,-0.023059548341399144,4.308935573632773,0.20907692307692308,44497.99157649747,0
DJI,Djibouti,2010,2023,14,0.4365714285714285,0.017259667942275788,0.0336912639364688,17.717268681176165,0.175,2500.9907848358666,1
DMA,Dominica,2010,2023,14,2.3927857142857145,0.004132967390377918,0.000659277441647097,6.488485149972464,0.24653846153846154,9688.648801260388,1
DNK,Denmark,2010,2023,14,6.260285714285714,-0.04497895020390861,-0.03962927146847595,5.774138809103932,0.13976923076923078,46084.919880100104,0
DOM,Dominican Republic,2010,2023,14,2.330071428571429,0.025312664501357975,0.03633690998126516,5.577015715484419,0.16746153846153844,13801.458474454093,1
DZA,Algeria,2010,2023,14,3.897142857142857,0.018346859539016727,0.03741856423408949,3.6875771559796884,0.2893846153846154,13332.98637095478,1
ECU,Ecuador,2010,2023,14,2.3757142857142854,-0.010275015190605497,0.003735389843839648,8.839083409362974,0.235,10073.215408954082,1
EGY,Egypt,2010,2023,14,2.305285714285715,-0.0033068763909592756,0.01604582023737061,4.952006509879528,0.2083846153846154,11191.840036848072,1
ESP,Spain,2010,2023,14,5.397357142857144,-0.02076607932394118,-0.01889738895516481,6.590926169916154,0.17007692307692307,32203.363913209785,0
EST,Estonia,2010,2023,14,11.658857142857142,-0.06080916780543298,-0.059226635591266556,15.336300039293121,0.48669230769230776,25625.26975788901,0
ETH,Ethiopia,2010,2023,14,0.12028571428571429,0.05283947005815802,0.07964511105699922,7.448626581005529,0.07392307692307691,1610.0702248469483,2
FIN,Finland,2010,2023,14,8.338357142857143,-0.04567378735587073,-0.042751222400776834,5.85266153726111,0.22292307692307695,38508.78492695742,0
FRA,France,2010,2023,14,5.029214285714285,-0.02482791268063886,-0.021342549358234254,5.254054839200342,0.13323076923076926,38388.5157683493,0
GAB,Gabon,2010,2023,14,2.634357142857142,-0.02487496679987626,0.0032115661565674603,4.326467358500417,0.17469230769230773,15313.041563960323,0
GBR,United Kingdom,2010,2023,14,6.125642857142856,-0.046663441890206596,-0.04014503138545233,4.489652942956974,0.17099999999999999,36783.09962775425,0
GEO,Georgia,2010,2023,14,2.5294999999999996,0.04086106687194007,0.0394308178724212,7.517664600407471,0.17330769230769233,14316.722308177366,1
GHA,Ghana,2010,2023,14,0.5017857142857143,0.03673491681631142,0.058482138423557845,9.718954066243553,0.12907692307692306,3817.3319326563696,1
GIN,Guinea,2010,2023,14,0.26492857142857146,0.031195695787235588,0.05641890425505863,22.7460563673262,0.18507692307692308,1422.7703776715482,2
GMB,Gambia,2010,2023,14,0.25657142857142856,0.02670618209975303,0.0525470832501237,6.685638525131121,0.15684615384615383,1619.27244699434,1
GNB,Guinea-Bissau,2010,2023,14,0.10821428571428571,0.07892350371968845,0.1026022794453851,9.295619972608389,0.07407692307692307,1395.2702205407109,2
GNQ,Equatorial Guinea,2010,2023,14,4.612500000000002,-0.03368020952234955,0.0004653992663255025,11.227327029208553,0.2818461538461538,17387.03695575162,0
GRC,Greece,2010,2023,14,6.769142857142858,-0.04171703436464075,-0.04712396944303862,5.515007319153112,0.29792307692307696,23184.618456674434,0
GTM,Guatemala,2010,2023,14,0.9574999999999999,0.034426992533430234,0.05156219499119418,6.9796590419740765,0.12838461538461537,7342.765397315756,1
HKG,Hong Kong,2010,2023,14,5.432642857142857,-0.02770687263604689,-0.023713918614232134,6.945152501498078,0.11784615384615385,46952.14763702442,0
HND,Honduras,2010,2023,14,1.065,0.006313831396949955,0.024821451862000646,6.866044397802491,0.2383076923076923,4440.644976102532,1
HRV,Croatia,2010,2023,14,4.478928571428571,-0.0018197138162536841,-0.01046503498854119,3.8768110734091237,0.21392307692307694,21086.807874688697,0
HTI,Haiti,2010,2023,14,0.26435714285714285,0.015665392432743144,0.029052855389134217,8.74030318576549,0.16130769230769232,1647.9623371778468,1
HUN,Hungary,2010,2023,14,4.7924999999999995,-0.0037330467074221524,-0.006026623351475728,5.002876591429861,0.2036923076923077,24107.448573345195,0
IDN,Indonesia,2010,2023,14,2.1925714285714286,0.026790832691424505,0.036947599899477816,6.8680615811571455,0.20453846153846156,10564.50783818457,1
IND,India,2010,2023,14,1.7251428571428573,0.030074478175737013,0.04128382903587205,4.287823096866999,0.29307692307692307,5835.873486424491,1
IRL,Ireland,2010,2023,14,7.875071428571428,-0.018617313388835273,-0.008425630220447462,4.716200305167403,0.15046153846153845,53576.07083485067,0
IRN,Iran,2010,2023,14,7.9975000000000005,0.014457690524760064,0.026676365320633486,3.6466413523983285,0.47176923076923083,16837.727485635318,0
IRQ,Iraq,2010,2023,14,4.225071428571428,0.02161772153286653,0.04931544342148407,6.094001252128615,0.3562307692307692,11712.578629994161,1
ISL,Iceland,2010,2023,14,10.244,-0.016678698437042373,-0.00038902265236758475,2.8621155787083774,0.2606153846153846,39887.78003290711,0
ISR,Israel,2010,2023,14,7.600499999999999,-0.03262185340046922,-0.014634398358151678,6.23002331941557,0.2433846153846154,32190.460478908168,0
ITA,Italy,2010,2023,14,5.969428571428571,-0.020891706372950358,-0.022101691670740397,5.5392894391033565,0.17638461538461536,34166.115418325564,0
JAM,Jamaica,2010,2023,14,2.8380714285714284,-0.004506958405839359,-0.0019990185104803875,10.382971360567268,0.4081538461538462,6946.507738757405,1
JOR,Jordan,2010,2023,14,2.5127857142857146,-0.0391993070898281,-0.0014922562324118113,6.771983403097216,0.26646153846153847,9524.712178625656,0
JPN,Japan,2010,2023,14,9.174785714285715,-0.01835637670474365,-0.02042066465535923,2.971136416029142,0.25230769230769234,36832.97928735539,0
KAZ,Kazakhstan,2010,2023,14,15.126642857142855,-0.0049865859209001755,0.009648725680144745,7.888087242733659,0.6558461538461539,23273.664070025417,3
KEN,Kenya,2010,2023,14,0.3285714285714286,0.031399633796277956,0.05296574984997217,5.462929074775189,0.10646153846153848,3042.536473499684,1
KGZ,Kyrgyzstan,2010,2023,14,1.546357142857143,0.0036481996009972016,0.023286747812013973,14.061656539296667,0.35630769230769227,4342.276927804495,1
KHM,Cambodia,2010,2023,14,0.767142857142857,0.12170103552262976,0.13574796903482692,10.869047122106275,0.22153846153846152,3145.2330373369823,2
KOR,South Korea,2010,2023,14,12.301428571428572,-0.006232809657362385,-0.0014916524768886841,3.033300380040953,0.3429230769230769,36357.7712621934,0
KWT,Kuwait,2010,2023,14,24.694857142857142,-0.01661226489968842,0.01858640707866707,12.690395588955864,0.44992307692307687,54998.739477149065,3
LAO,Laos,2010,2023,14,1.8742142857142858,0.17398532306077596,0.18885162418125068,32.52723226717511,0.2816153846153846,5855.171706408642,2
LBN,Lebanon,2010,2023,14,3.8643571428571426,-0.02172519444843087,-0.014901746285917764,8.81302839659829,0.3495384615384616,11415.115869436444,0
LBR,Liberia,2010,2023,14,0.16292857142857145,-0.019113516498330478,0.0027352335265789307,17.029208553865505,0.2039230769230769,803.6840748249328,1
LBY,Libya,2010,2023,14,8.853499999999999,-0.013390001141939962,-0.0011318630312376428,24.719488554811107,0.5495384615384616,16893.2762740101,3
LCA,Saint Lucia,2010,2023,14,2.8119285714285716,0.0013870145124369898,0.005102919303685192,2.22791932972307,0.29738461538461536,9490.807299437145,1
LKA,Sri Lanka,2010,2023,14,0.8352142857142856,0.024228405581264448,0.03179264541710803,9.73086796264954,0.07453846153846153,11163.755157318643,1
LSO,Lesotho,2010,2023,14,1.1006428571428573,-0.009455208910800265,0.0021029454002303057,18.98889997123031,0.482076923076923,2304.012019104207,1
LTU,Lithuania,2010,2023,14,4.623357142857143,0.0032566401481969867,-0.003841593314600039,3.3791696974349597,0.19369230769230772,24489.90246571045,0
LUX,Luxembourg,2010,2023,14,16.19692857142857,-0.05395111724520673,-0.03296874831707289,5.9286555841659325,0.3049230769230769,54686.3591484503,0
LVA,Latvia,2010,2023,14,3.7477857142857145,-0.0035862616627668395,-0.011900266899865616,4.709418260279681,0.169,22767.870861567826,0
MAR,Morocco,2010,2023,14,1.7485000000000002,0.009884246462948571,0.02132134173592558,4.098826329910874,0.222,7858.226457688463,1
MDA,Moldova,2010,2023,14,1.567857142857143,0.024619038753645354,0.01046819705584554,5.648575116139743,0.23930769230769233,6573.375668688669,1
MDG,Madagascar,2010,2023,14,0.12635714285714286,0.0305689907778298,0.05650619221983639,9.265722685818092,0.0983076923076923,1275.0384001009672,1
MEX,Mexico,2010,2023,14,3.8427142857142846,-0.016498012856369343,-0.006491913241603241,3.3952521287920896,0.24915384615384617,15554.80408042701,0
MKD,North Macedonia,2010,2023,14,3.7800714285714285,-0.0034579454466217296,-0.012906929970474944,8.149278888437564,0.28846153846153844,13270.032013337623,0
MLI,Mali,2010,2023,14,0.2229285714285714,0.07414738197366487,0.1048933847013408,7.371318993152049,0.16823076923076924,1286.4585276124014,2
MLT,Malta,2010,2023,14,4.246,-0.06326341023292788,-0.04209712766190298,11.07901712923874,0.15830769230769232,28869.26739676595,0
MMR,Myanmar,2010,2023,14,0.4527142857142858,0.0802440525035166,0.08787454296814871,17.96294553528904,0.08307692307692308,5194.081348648456,2
MNE,Montenegro,2010,2023,14,3.7004285714285716,0.009136513379235345,0.00643700390535775,6.3893140475763515,0.21230769230769228,17554.312131075112,1
MNG,Mongolia,2010,2023,14,11.103214285714285,0.03980624395782427,0.059036889539186885,27.13488570393788,0.9081538461538462,11975.64353169229,3
MOZ,Mozambique,2010,2023,14,0.22321428571428575,0.05803910394855205,0.08733157824184863,34.64122501116497,0.22923076923076924,947.4562202350314,2
MRT,Mauritania,2010,2023,14,0.8254285714285714,0.049798160013571076,0.07982216143221917,13.542672215996612,0.26276923076923075,3076.1349925895915,2
MUS,Mauritius,2010,2023,14,3.266785714285714,0.007843930505206142,0.007147158954231558,5.722973911799682,0.17146153846153847,19000.244317938865,1
MWI,Malawi,2010,2023,14,0.0757142857142857,0.03105905283758708,0.058022394267289154,11.916091487388263,0.05976923076923076,1246.4070917411716,1
MYS,Malaysia,2010,2023,14,7.690214285714285,0.009550959706837307,0.025540663592733926,4.617685850901459,0.3489230769230769,22127.290306672578,0
