year,scenario,sector,emissions_mtco2,carbon_price_usd_per_tco2,carbon_cost_usd_bn,cumulative_carbon_cost_usd_bn
2046,NZE,Other energy sector,-10.577999999999989,176.0,-1.861727999999998,241.285902
2047,NZE,Other energy sector,-34.59099999999999,182.0,-6.295561999999997,234.99034
2048,NZE,Other energy sector,-58.603999999999985,188.0,-11.017551999999998,223.972788
2049,NZE,Other energy sector,-82.61699999999999,194.0,-16.027697999999997,207.94509000000002
2050,NZE,Other energy sector,-106.63,200.0,-21.326,186.61909
2035,STEPS,Other energy sector,1666.08,55.0,91.6344,91.6344
2036,STEPS,Other energy sector,1659.3239999999998,58.0,96.24079199999998,187.87519199999997
2037,STEPS,Other energy sector,1652.568,61.0,100.806648,288.68183999999997
2038,STEPS,Other energy sector,1645.812,64.0,105.331968,394.013808
2039,STEPS,Other energy sector,1639.056,67.0,109.816752,503.83056
2040,STEPS,Other energy sector,1632.3,70.0,114.261,618.09156
2041,STEPS,Other energy sector,1626.953,73.0,118.767569,736.8591289999999
2042,STEPS,Other energy sector,1621.606,76.0,123.242056,860.101185
2043,STEPS,Other energy sector,1616.259,79.0,127.684461,987.7856459999999
2044,STEPS,Other energy sector,1610.912,82.0,132.094784,1119.88043
2045,STEPS,Other energy sector,1605.5649999999998,85.0,136.47302499999998,1256.353455
2046,STEPS,Other energy sector,1600.2179999999998,88.0,140.81918399999998,1397.172639
2047,STEPS,Other energy sector,1594.8709999999999,91.0,145.13326099999998,1542.3058999999998
2048,STEPS,Other energy sector,1589.524,94.0,149.415256,1691.7211559999998
2049,STEPS,Other energy sector,1584.177,97.0,153.665169,1845.386325
2050,STEPS,Other energy sector,1578.83,100.0,157.883,2003.269325
2035,NZE,Power sector inputs,4172.97,110.0,459.02670000000006,459.02670000000006
2036,NZE,Power sector inputs,3419.632,116.0,396.677312,855.704012
2037,NZE,Power sector inputs,2666.294,122.0,325.287868,1180.99188
2038,NZE,Power sector inputs,1912.9560000000001,128.0,244.85836800000004,1425.8502480000002
2039,NZE,Power sector inputs,1159.618,134.0,155.388812,1581.23906
2040,NZE,Power sector inputs,406.28,140.0,56.8792,1638.1182600000002
2041,NZE,Power sector inputs,337.804,146.0,49.319384,1687.437644
2042,NZE,Power sector inputs,269.328,152.0,40.937856,1728.3755
2043,NZE,Power sector inputs,200.85199999999998,158.0,31.734615999999995,1760.110116
2044,NZE,Power sector inputs,132.37599999999998,164.0,21.709663999999997,1781.81978
2045,NZE,Power sector inputs,63.89999999999998,170.0,10.862999999999996,1792.68278
2046,NZE,Power sector inputs,-4.576000000000022,176.0,-0.8053760000000039,1791.877404
2047,NZE,Power sector inputs,-73.05200000000002,182.0,-13.295464000000003,1778.58194
2048,NZE,Power sector inputs,-141.52800000000002,188.0,-26.607264000000004,1751.974676
2049,NZE,Power sector inputs,-210.00400000000002,194.0,-40.74077600000001,1711.2339
2050,NZE,Power sector inputs,-278.48,200.0,-55.696,1655.5379
2035,STEPS,Power sector inputs,12783.02,55.0,703.0661,703.0661
2036,STEPS,Power sector inputs,12376.524000000001,58.0,717.8383920000001,1420.9044920000001
2037,STEPS,Power sector inputs,11970.028,61.0,730.171708,2151.0762
2038,STEPS,Power sector inputs,11563.532000000001,64.0,740.0660480000001,2891.142248
2039,STEPS,Power sector inputs,11157.036,67.0,747.521412,3638.66366
2040,STEPS,Power sector inputs,10750.54,70.0,752.5378,4391.20146
2041,STEPS,Power sector inputs,10520.351,73.0,767.985623,5159.187083000001
2042,STEPS,Power sector inputs,10290.162,76.0,782.052312,5941.2393950000005
2043,STEPS,Power sector inputs,10059.973,79.0,794.737867,6735.977262
